UserId,YearMonth,transactions.id,transactions.date,transactions.vendor,transactions.category,transactions.amount,transactions.currency,transactions.recurring,transactions.type,transactions.location,transactions.description
3,202405,223390,2024-05-14,EVO,Transportation,17.0,CAD,True,purchase,CA-BC,EVO CAR SHARE
3,202405,223383,2024-05-16,EVO,Transportation,20.0,CAD,True,purchase,CA-BC,EVO CAR SHARE
3,202405,223392,2024-05-17,Good Co,Food & Beverages,73.0,CAD,False,purchase,CA-BC,TST-GOOD CO. GRANVILLE
3,202405,223385,2024-05-18,DISNEY,Entertainment,16.0,CAD,True,subscription,CA-BC,DISNEY PLUS RECURRING
3,202405,223387,2024-05-18,NANAS,Food & Beverages,14.0,CAD,False,purchase,CA-BC,NANAS GREEN TEA
3,202405,223384,2024-05-18,VADAPAV,Food & Beverages,161.0,CAD,False,purchase,CA-BC,VADAPAV MIRHCHI BY GETT
3,202405,223388,2024-05-18,PAYMENT,Miscellaneous,-3188.0,CAD,False,bill_payment,CA-BC,PAYMENT RECEIVED - THANK
3,202405,223386,2024-05-23,BURRATA,Food & Beverages,4.0,CAD,False,purchase,CA-BC,BURRATA PIZZERIA 410732
3,202406,223460,2024-05-24,COMPASS,Travel,8.0,CAD,True,purchase,CA-BC,COMPASS WEB
3,202405,223389,2024-05-24,EVO,Transportation,13.0,CAD,True,purchase,CA-BC,EVO CAR SHARE
3,202406,223467,2024-05-25,EVO,Transportation,22.0,CAD,True,purchase,CA-BC,EVO CAR SHARE
3,202406,223459,2024-05-26,APPLE.COM/BILL,Utilities,2.0,CAD,True,payment,CA-BC,APPLE.COM/BILL
3,202405,223381,2024-05-27,CHAN,Entertainment,16.0,CAD,False,purchase,CA-BC,CHAN CENTRE FOR THE PER
3,202405,223382,2024-05-27,EVO,Transportation,24.0,CAD,True,purchase,CA-BC,EVO CAR SHARE
3,202406,223464,2024-05-27,HOTEL,Travel,-183.0,CAD,False,refund,CA-BC,HOTEL ON BOOKING.COM
3,202406,223466,2024-05-28,CINEPLEX,Entertainment,51.0,CAD,True,purchase,CA-BC,CINEPLEX ENTERTAINME
3,202406,223461,2024-05-29,MINH,Food & Beverages,11.0,CAD,True,purchase,CA-BC,MINH SANDWICHES 001
3,202405,223391,2024-05-29,Dosa Factory,Food & Beverages,17.0,CAD,False,purchase,CA-BC,DOSA FACTORY RESTAURANT
3,202405,223380,2024-05-29,DOORDASHSAHELRESTAU,Food & Beverages,24.0,CAD,False,purchase,CA-BC,DOORDASHSAHELRESTAU DOWNTOWN
3,202406,223465,2024-05-30,HOTEL,Travel,188.0,CAD,False,purchase,CA-BC,HOTEL ON BOOKING.COM
3,202406,223457,2024-05-31,EVO,Transportation,12.0,CAD,True,purchase,CA-BC,EVO CAR SHARE
3,202406,223453,2024-06-01,EVO,Transportation,118.0,CAD,True,purchase,CA-BC,EVO CAR SHARE
3,202406,223463,2024-06-01,EARLS,Food & Beverages,13.0,CAD,False,purchase,CA-BC,EARLS TEST KITCHEN
3,202406,123452,2024-06-02,Walmart,Groceries,77.0,USD,False,purchase,CA-BC,Walmart Groceries purchase
3,202406,223446,2024-06-03,APPLE.COM/BILL,Utilities,36.0,CAD,True,payment,CA-BC,APPLE.COM/BILL
3,202405,223378,2024-06-03,Cafe,Food & Beverages,28.0,CAD,False,purchase,CA-BC,THE NEW AMSTERDAM 40007
3,202406,223444,2024-06-04,AMZN,Shopping,38.0,CAD,False,purchase,CA-BC,AMZN MKTP CA*TG97Y75R3
3,202405,223379,2024-06-05,AMAZON.CA,Shopping,8.0,CAD,True,purchase,CA-BC,AMAZON.CA PRIME MEMBER
3,202406,223458,2024-06-05,KINTON,Food & Beverages,79.0,CAD,False,purchase,CA-BC,KINTON RAMEN UBC 001
3,202405,223376,2024-06-06,KINTON,Food & Beverages,20.0,CAD,False,purchase,CA-BC,KINTON RAMEN KGH 001
3,202406,123439,2024-06-06,Netflix,Entertainment,15.0,USD,True,subscription,CA-BC,Netflix monthly subscription
3,202406,223440,2024-06-06,RAMEN,Food & Beverages,34.0,CAD,False,purchase,CA-BC,RAMEN DANBO KITSILANO 0
3,202406,123437,2024-06-07,Amazon,Shopping,54.0,USD,False,purchase,CA-BC,Amazon Shopping purchase
3,202406,123453,2024-06-07,Delta Airlines,Travel,313.0,USD,False,purchase,US-CA,Flight ticket purchase
3,202406,223462,2024-06-07,DOORDASHSHOPPERSDRU,Food & Beverages,30.0,CAD,False,purchase,CA-BC,DOORDASHSHOPPERSDRU DOWNTOWN
3,202406,223456,2024-06-07,EVO,Transportation,10.0,CAD,True,purchase,CA-BC,EVO CAR SHARE
3,202405,223377,2024-06-08,MINH,Food & Beverages,10.0,CAD,True,purchase,CA-BC,MINH SANDWICHES 001
3,202406,223436,2024-06-08,CINEPLEX,Entertainment,12.0,CAD,True,purchase,CA-BC,CINEPLEX #1147
3,202406,123450,2024-06-08,Netflix,Entertainment,14.0,USD,True,subscription,CA-BC,Netflix monthly subscription
3,202406,223448,2024-06-08,VALHALLA,Shopping,265.0,CAD,False,purchase,CA-BC,VALHALLA PURE OUTFITTER
3,202406,223452,2024-06-08,BC,Food & Beverages,4.0,CAD,False,purchase,CA-BC,BC LIQUOR #090 VANCOUVE
3,202406,223441,2024-06-08,CINEPLEX,Entertainment,12.0,CAD,True,purchase,CA-BC,CINEPLEX CINECLUB
3,202406,223454,2024-06-09,SPORTS,Food & Beverages,30.0,CAD,False,purchase,CA-BC,SPORTS ILLUSTRATED CLU
3,202406,123438,2024-06-09,Starbucks,Food & Beverages,13.0,USD,False,purchase,US-NY,Starbucks coffee purchase
3,202406,223445,2024-06-09,CLASSPASS*,Health & Wellness,-85.0,CAD,False,refund,CA-BC,CLASSPASS* MONTHLY
3,202406,223450,2024-06-10,NUKID,Food & Beverages,13.0,CAD,False,purchase,CA-BC,NUKID BAKERY CAFE 001
3,202406,123451,2024-06-11,Spotify,Entertainment,11.0,USD,True,subscription,US-NY,Spotify Premium subscription
3,202406,223447,2024-06-11,CINEPLEX,Entertainment,5.0,CAD,True,purchase,CA-BC,CINEPLEX ENTERTAINME
3,202406,223422,2024-06-12,MINH,Miscellaneous,-5.0,CAD,True,refund,CA-BC,MINH
3,202406,223426,2024-06-13,BODY,Miscellaneous,10.0,CAD,False,purchase,CA-BC,BODY ENERGY CLUB
3,202406,223449,2024-06-13,CLASSPASS*,Health & Wellness,77.0,CAD,False,purchase,CA-BC,CLASSPASS* MONTHLY
3,202406,223427,2024-06-13,MINH,Miscellaneous,11.0,CAD,True,purchase,CA-BC,MINH SANDWICHES 001
3,202406,223443,2024-06-13,AMZN,Shopping,27.0,CAD,False,purchase,CA-BC,AMZN MKTP CA*C31J23AB3
3,202406,223423,2024-06-13,SAVE,Food & Beverages,22.0,CAD,False,purchase,CA-BC,SAVE ON FOODS #993
3,202406,223435,2024-06-14,THE,Food & Beverages,13.0,CAD,False,purchase,CA-BC,THE CHOPPED LEAF CL058
3,202406,223439,2024-06-14,PUREBREAD,Food & Beverages,7.0,CAD,False,purchase,CA-BC,PUREBREAD 4TH AVE VANCO
3,202406,123442,2024-06-14,Gas Station,Transportation,42.0,USD,False,purchase,US-CA,Fuel refill
3,202406,223455,2024-06-14,BEC,Food & Beverages,18.0,CAD,False,purchase,CA-BC,BODY ENERGY CLUB
