UserId,YearMonth,transactions.id,transactions.date,transactions.vendor,transactions.category,transactions.amount,transactions.currency,transactions.recurring,transactions.type,transactions.location,transactions.description
2,202405,223391,2024-05-20,Dosa Factory,Food & Beverages,15.58,CAD,False,purchase,CA-BC,DOSA FACTORY RESTAURANT
2,202405,223392,2024-05-20,Good Co,Food & Beverages,68.28,CAD,False,purchase,CA-BC,TST-GOOD CO. GRANVILLE
2,202405,223389,2024-05-21,EVO,Transportation,11.83,CAD,True,purchase,CA-BC,EVO CAR SHARE
2,202405,223390,2024-05-21,EVO,Transportation,16.77,CAD,False,purchase,CA-BC,EVO CAR SHARE
2,202405,223386,2024-05-22,BURRATA,Food & Beverages,3.0,CAD,False,purchase,CA-BC,BURRATA PIZZERIA 410732
2,202405,223387,2024-05-22,NANAS,Food & Beverages,15.41,CAD,False,purchase,CA-BC,NANAS GREEN TEA
2,202405,223388,2024-05-22,PAYMENT,Miscellaneous,-2914.11,CAD,False,bill_payment,CA-BC,PAYMENT RECEIVED - THANK
2,202405,223385,2024-05-23,DISNEY,Entertainment,16.79,CAD,True,subscription,CA-BC,DISNEY PLUS RECURRING
2,202405,223382,2024-05-25,EVO,Transportation,21.55,CAD,True,purchase,CA-BC,EVO CAR SHARE
2,202405,223383,2024-05-25,EVO,Transportation,21.55,CAD,True,purchase,CA-BC,EVO CAR SHARE
2,202405,223384,2024-05-25,VADAPAV,Food & Beverages,156.52,CAD,False,purchase,CA-BC,VADAPAV MIRHCHI BY GETT
2,202405,223381,2024-05-26,CHAN,Entertainment,15.0,CAD,False,purchase,CA-BC,CHAN CENTRE FOR THE PER
2,202405,223380,2024-05-28,DOORDASHSAHELRESTAU,Food & Beverages,24.68,CAD,False,purchase,CA-BC,DOORDASHSAHELRESTAU DOWNTOWN
2,202405,223379,2024-05-29,AMAZON.CA,Shopping,6.71,CAD,True,purchase,CA-BC,AMAZON.CA PRIME MEMBER
2,202405,223376,2024-05-31,KINTON,Food & Beverages,18.49,CAD,False,purchase,CA-BC,KINTON RAMEN KGH 001
2,202405,223377,2024-05-31,MINH,Food & Beverages,10.29,CAD,True,purchase,CA-BC,MINH SANDWICHES 001
2,202405,223378,2024-05-31,Cafe,Food & Beverages,26.57,CAD,False,purchase,CA-BC,THE NEW AMSTERDAM 40007
2,202406,223466,2024-06-01,CINEPLEX,Entertainment,47.24,CAD,False,purchase,CA-BC,CINEPLEX ENTERTAINME
2,202406,223467,2024-06-01,EVO,Transportation,20.06,CAD,False,purchase,CA-BC,EVO CAR SHARE
2,202406,223462,2024-06-02,DOORDASHSHOPPERSDRU,Food & Beverages,28.94,CAD,False,purchase,CA-BC,DOORDASHSHOPPERSDRU DOWNTOWN
2,202406,223463,2024-06-02,EARLS,Food & Beverages,13.26,CAD,False,purchase,CA-BC,EARLS TEST KITCHEN
2,202406,223464,2024-06-02,HOTEL,Travel,-197.5,CAD,False,refund,CA-BC,HOTEL ON BOOKING.COM
2,202406,223465,2024-06-02,HOTEL,Travel,197.5,CAD,False,purchase,CA-BC,HOTEL ON BOOKING.COM
2,202406,223459,2024-06-03,APPLE.COM/BILL,Utilities,1.44,CAD,True,purchase,CA-BC,APPLE.COM/BILL
2,202406,223460,2024-06-03,COMPASS,Travel,7.35,CAD,False,purchase,CA-BC,COMPASS WEB
2,202406,223461,2024-06-03,MINH,Food & Beverages,10.29,CAD,True,purchase,CA-BC,MINH SANDWICHES 001
2,202406,223458,2024-06-06,KINTON,Food & Beverages,80.36,CAD,False,purchase,CA-BC,KINTON RAMEN UBC 001
2,202406,223455,2024-06-07,BEC,Food & Beverages,18.9,CAD,False,purchase,CA-BC,BODY ENERGY CLUB
2,202406,223456,2024-06-07,EVO,Transportation,9.63,CAD,False,purchase,CA-BC,EVO CAR SHARE
2,202406,223457,2024-06-07,EVO,Transportation,10.73,CAD,False,purchase,CA-BC,EVO CAR SHARE
2,202406,223452,2024-06-08,BC,Food & Beverages,3.88,CAD,False,purchase,CA-BC,BC LIQUOR #090 VANCOUVE
